student_id,term_code,concentration_code,course_code,credits_attempted,credits_earned,grade
1001119609,spring_2020,S9501,ENC-1101,3,3,A
1001119609,spring_2020,S9501,SPC-1017,3,3,A
1001119609,spring_2020,S9501,PHI-2010,3,3,A
1001119609,summer_2020,S9501,HUM-1020,3,3,A
1001119609,summer_2020,S9501,ENC-1102,3,3,A
1001119609,summer_2020,S9501,AMH-2020,3,3,A
1001119609,fall_2020,S9501,MAC-1105,3,3,A
1001119609,fall_2020,S9501,CGS-1060C,4,4,A
1001119609,fall_2020,S9501,BSC-2085,3,3,A
1001119609,fall_2020,S9501,BSC-2085L,1,1,A
1001119609,spring_2021,S9501,PSY-2012,3,3,A
1001119609,spring_2021,S9501,ECO-2013,3,3,A
1001119609,spring_2021,S9501,CHM-1020,3,3,A
1001119609,summer_2021,S9501,STA-2023,3,3,A
1001119609,summer_2021,S9501,CGS-1540C,4,4,A
1001119609,summer_2021,S9501,COP-1334,4,4,A
1001119609,fall_2021,S9501,CTS-1134,4,4,A
1001119609,fall_2021,S9501,COP-2800,4,4,A
1001119609,fall_2021,S9501,MAD-1100,4,4,A
1001119609,spring_2022,S9501,CIS-3360,4,4,A
1001119609,spring_2022,S9501,CIS-3510,4,4,A
1001119609,spring_2022,S9501,CGS-3763,4,4,A
1001119609,summer_2022,S9501,COP-2805C,4,4,A
1001119609,summer_2022,S9501,CTS-1111,4,4,A
1001119609,summer_2022,S9501,CTS-2303,4,4,A
1001119609,fall_2022,S9501,CET-3126C,4,4,A
1001119609,fall_2022,S9501,CET-3383C,4,4,A
1001119609,fall_2022,S9501,COP-3530,4,4,A
1001119609,spring_2023,S9501,CEN-4025C,4,4,A
1001119609,spring_2023,S9501,COT-4400,4,4,A
1001119609,spring_2023,S9501,CEN-4090C,4,4,A
1001119609,summer_2023,S9501,COP-2842,4,4,A
1001119609,summer_2023,S9501,COP-1047C,4,4,A
1001119609,summer_2023,S9501,COP-2270,4,4,A
1001199195,spring_2021,S9501,ENC-1101,3,3,A
1001199195,spring_2021,S9501,SPC-1017,3,3,A
1001199195,spring_2021,S9501,PHI-2010,3,3,A
1001199195,summer_2021,S9501,HUM-1020,3,3,A
1001199195,summer_2021,S9501,ENC-1102,3,3,A
1001199195,summer_2021,S9501,AMH-2020,3,3,A
1001199195,fall_2021,S9501,MAC-1105,3,3,A
1001199195,fall_2021,S9501,CGS-1060C,4,4,A
1001199195,fall_2021,S9501,BSC-2085,3,3,A
1001199195,fall_2021,S9501,BSC-2085L,1,1,A
1001199195,spring_2022,S9501,PSY-2012,3,3,A
1001199195,spring_2022,S9501,ECO-2013,3,3,A
1001199195,summer_2022,S9501,CHM-1020,3,3,A
1001199195,summer_2022,S9501,STA-2023,3,3,A
1001199195,fall_2022,S9501,CGS-1540C,4,4,A
1001199195,fall_2022,S9501,COP-1334,4,4,A
